title,type,question,A,B,C,D,E,F,answer,image
Food Chain,radio,produces its own food / membuat makanan sendiri,Producer / Pengeluar,Primary Consumer / Pengguna Primer,Secondary Consumer / Pengguna Sekunder,Tertiary Consumer / Pengguna Tertier,Decomposer / Pengurai,,A,
,radio,herbivores and omnivores that eat producers / haiwan herbivor dan omnivor yang memakan pengeluar,Producer / Pengeluar,Primary Consumer / Pengguna Primer,Secondary Consumer / Pengguna Sekunder,Tertiary Consumer / Pengguna Tertier,Decomposer / Pengurai,,B,
,radio,omnivore and carnivore that eats the primary consumer / omnivor dan karnivor yang makan pengguna primer,Producer / Pengeluar,Primary Consumer / Pengguna Primer,Secondary Consumer / Pengguna Sekunder,Tertiary Consumer / Pengguna Tertier,Decomposer / Pengurai,,C,
,radio,secondary carnivore that eats a secondary consumer / haiwan karnivor sekunder yang makan pengguna sekunder,Producer / Pengeluar,Primary Consumer / Pengguna Primer,Secondary Consumer / Pengguna Sekunder,Tertiary Consumer / Pengguna Tertier,Decomposer / Pengurai,,D,
,radio,breaks down dead animals and plants into simpler materials or nutrients / menguraikan haiwan dan tumbuhan mati kepada bahan-bahan yang lebih ringkas atau nutrien,Producer / Pengeluar,Primary Consumer / Pengguna Primer,Secondary Consumer / Pengguna Sekunder,Tertiary Consumer / Pengguna Tertier,Decomposer / Pengurai,,E,
,radio,herbivores / herbivor,Producer / Pengeluar,Primary Consumer / Pengguna Primer,Secondary Consumer / Pengguna Sekunder,Tertiary Consumer / Pengguna Tertier,Decomposer / Pengurai,,B,
,checkbox,omnivores / omnivor,Producer / Pengeluar,Primary Consumer / Pengguna Primer,Secondary Consumer / Pengguna Sekunder,Tertiary Consumer / Pengguna Tertier,Decomposer / Pengurai,,"B,C",
,checkbox,carnivore / karnivor,Producer / Pengeluar,Primary Consumer / Pengguna Primer,Secondary Consumer / Pengguna Sekunder,Tertiary Consumer / Pengguna Tertier,Decomposer / Pengurai,,"C,D",
,radio,Primary carnivore / karnivor primer,Producer / Pengeluar,Primary Consumer / Pengguna Primer,Secondary Consumer / Pengguna Sekunder,Tertiary Consumer / Pengguna Tertier,Decomposer / Pengurai,,C,
,radio,Secondary carnivore / karnivor sekunder,Producer / Pengeluar,Primary Consumer / Pengguna Primer,Secondary Consumer / Pengguna Sekunder,Tertiary Consumer / Pengguna Tertier,Decomposer / Pengurai,,D,
,text,What is transferred from one organism to another organism in the food chain or food web? / Apakah dipindahkan daripada satu organisma kepada organisma yang lain dalam rantai makanan atau siratan makanan?,,,,,,,"energy,tenaga",
