title,type,question,A,B,C,D,E,F,answer,image
Types of interaction between organisms,radio,Sea anemone and clown fish / Buran dan Ikan badut,Mutualism / Mutualisme,Commensalism / Komensalisme,Parasitism / Parasitisme,Prey-predator / Mangsa-Pemangsa,Competition / Persaingan,,A,
,radio,Fungi and Algae / Kulat dan Alga,Mutualism / Mutualisme,Commensalism / Komensalisme,Parasitism / Parasitisme,Prey-predator / Mangsa-Pemangsa,Competition / Persaingan,,A,
,radio,Lichens / Liken,Mutualism / Mutualisme,Commensalism / Komensalisme,Parasitism / Parasitisme,Prey-predator / Mangsa-Pemangsa,Competition / Persaingan,,A,
,radio,Mynah and Buffalo / Burung tiung dan Kerbau,Mutualism / Mutualisme,Commensalism / Komensalisme,Parasitism / Parasitisme,Prey-predator / Mangsa-Pemangsa,Competition / Persaingan,,A,
,radio,Sea anemone and hermit crab / Buran dan uamng-umang,Mutualism / Mutualisme,Commensalism / Komensalisme,Parasitism / Parasitisme,Prey-predator / Mangsa-Pemangsa,Competition / Persaingan,,A,
,radio,benefits both organisms / manfaat kepada kedua-dua jenis organisma,Mutualism / Mutualisme,Commensalism / Komensalisme,Parasitism / Parasitisme,Prey-predator / Mangsa-Pemangsa,Competition / Persaingan,,A,
,radio,only benefits one organism without harming or benefitting the other / memberi manfaat kepada satu organisma sahaja tanpa memudaratkan atau menguntungkan organisma yang satu lagi,Mutualism / Mutualisme,Commensalism / Komensalisme,Parasitism / Parasitisme,Prey-predator / Mangsa-Pemangsa,Competition / Persaingan,,B,
,radio,remora fish and shark / Ikan remora dan ikan jerung,Mutualism / Mutualisme,Commensalism / Komensalisme,Parasitism / Parasitisme,Prey-predator / Mangsa-Pemangsa,Competition / Persaingan,,B,
,radio,bird’s nest fern and trees / Paku-pakis langsuir dan pokok,Mutualism / Mutualisme,Commensalism / Komensalisme,Parasitism / Parasitisme,Prey-predator / Mangsa-Pemangsa,Competition / Persaingan,,B,
,radio,benefits one organism only and harms the other / menguntungkan satu organisma sahaja dan memudaratkan atau merugikan organisma yang satu lagi,Mutualism / Mutualisme,Commensalism / Komensalisme,Parasitism / Parasitisme,Prey-predator / Mangsa-Pemangsa,Competition / Persaingan,,C,
,radio,tapeworm and human intestine / Cacing pita dan usus manusia,Mutualism / Mutualisme,Commensalism / Komensalisme,Parasitism / Parasitisme,Prey-predator / Mangsa-Pemangsa,Competition / Persaingan,,C,
,radio,Lice and humans or animals / Kutu dan manusia atau haiwan,Mutualism / Mutualisme,Commensalism / Komensalisme,Parasitism / Parasitisme,Prey-predator / Mangsa-Pemangsa,Competition / Persaingan,,C,
,radio,one organism that eats another organism / satu organisma yang makan organisma lain,Mutualism / Mutualisme,Commensalism / Komensalisme,Parasitism / Parasitisme,Prey-predator / Mangsa-Pemangsa,Competition / Persaingan,,D,
,radio,Tiger and deer / Harimau dan rusa,Mutualism / Mutualisme,Commensalism / Komensalisme,Parasitism / Parasitisme,Prey-predator / Mangsa-Pemangsa,Competition / Persaingan,,D,
,radio,compete for limited supply of basic needs / bersaing untuk mendapatkan keperluan asas yang terhad,Mutualism / Mutualisme,Commensalism / Komensalisme,Parasitism / Parasitisme,Prey-predator / Mangsa-Pemangsa,Competition / Persaingan,,E,
,radio,tiger and tiger / harimau dan harimau,Mutualism / Mutualisme,Commensalism / Komensalisme,Parasitism / Parasitisme,Prey-predator / Mangsa-Pemangsa,Competition / Persaingan,,E,
,checkbox,biological control / kawalan biologi,Mutualism / Mutualisme,Commensalism / Komensalisme,Parasitism / Parasitisme,Prey-predator / Mangsa-Pemangsa,Competition / Persaingan,,"C,D",
